recall_2,accuracy,val_precision_2,precision_2,loss,val_accuracy,val_recall_2,val_loss
0.8390278,0.8459912,0.97553515,0.85101825,0.3517255043110396,0.93926555,0.90112996,0.18958501533557803
0.91123635,0.93303967,0.99038464,0.9528545,0.1933718196383066,0.9322034,0.87288135,0.15774480908676505
0.9387108,0.95612335,0.9937304,0.97262776,0.1254793680468133,0.94491524,0.8954802,0.12562898409696555
0.9471645,0.95929515,0.9716714,0.97075814,0.10643790434320413,0.970339,0.96892655,0.0871030126806979
0.96090174,0.9677533,0.96100277,0.9742857,0.09028496768163766,0.9675141,0.9745763,0.07389439602368249
0.9661853,0.96951544,0.93495935,0.97269505,0.08107193386817986,0.9533898,0.9745763,0.10222317521666067
0.9714688,0.97356826,0.9714286,0.9755925,0.07068895542358729,0.9661017,0.96045196,0.07534791090031825
0.97992253,0.97938323,0.9765396,0.9788881,0.05386759538348933,0.95903957,0.94067794,0.1066044507261622
0.9728778,0.9746255,0.98567337,0.9763167,0.0685904696131741,0.9788136,0.9717514,0.058881114971855886
0.98133147,0.98237884,0.97421205,0.9834098,0.04863943266836059,0.9675141,0.96045196,0.0973266400189883
0.9848538,0.985022,0.9771429,0.9852008,0.03994572761873611,0.9717514,0.9661017,0.06867978055331571
0.98344487,0.9834361,0.97214484,0.98344487,0.04408375716683037,0.9788136,0.9858757,0.05115662888007125
0.98767173,0.9864317,0.97214484,0.9852424,0.04037143628732896,0.9788136,0.9858757,0.044794277712926094
0.98908067,0.98837006,0.9661972,0.9876891,0.0313270399617943,0.9675141,0.96892655,0.07507508923096413
0.9894329,0.9890749,0.9773371,0.98873633,0.03025129342699643,0.9759887,0.9745763,0.06445498563332168
0.99189854,0.9904846,0.984375,0.98911136,0.02409490824888064,0.9378531,0.8898305,0.1808477119200804
0.98908067,0.98872244,0.9744318,0.98838437,0.032761446094772224,0.9717514,0.96892655,0.06249602506197802
0.98520607,0.98555064,0.97720796,0.9859006,0.04076071940622511,0.97316384,0.96892655,0.06667386481699208
0.9887284,0.98696035,0.9716714,0.985258,0.04095072916224859,0.970339,0.96892655,0.059834149149804575
0.9904896,0.98995596,0.9942857,0.9894441,0.02566901210786145,0.98870057,0.9830508,0.028090228951224577
0.99542093,0.9943612,0.9747191,0.9933216,0.017215260950900778,0.97740114,0.980226,0.051723238390269655
0.9887284,0.987489,0.9485095,0.98629653,0.033342180342908166,0.9675141,0.98870057,0.12740395886386197
0.99365973,0.99189425,0.96944445,0.99017197,0.023421150858767312,0.97740114,0.9858757,0.07402577468391706
0.9964776,0.9934802,0.97229916,0.9905462,0.016050160792237932,0.98163843,0.9915254,0.0730200980596699
0.9961254,0.99577093,0.9436997,0.99542415,0.011273057439300474,0.9675141,0.99435025,0.10796228980980292
0.99471647,0.9927753,0.982906,0.9908772,0.023462428223214173,0.9788136,0.9745763,0.0819766893371031
0.99295527,0.9922467,0.9941349,0.9915582,0.026219384903404055,0.9759887,0.9576271,0.07078210355694975
0.99577314,0.9952423,0.98300284,0.994722,0.016291449147679295,0.98163843,0.980226,0.0730142452686841
0.99365973,0.9929515,0.982808,0.9922617,0.02013129521087226,0.9759887,0.96892655,0.06411328028100584
0.992603,0.9925991,0.98,0.992603,0.02241889080172407,0.9745763,0.96892655,0.06909029910077003
0.9943642,0.9938326,0.96910113,0.99331456,0.018588271281875977,0.9717514,0.9745763,0.12876632813657088
0.99577314,0.9943612,0.97740114,0.99297506,0.01667557045918927,0.97740114,0.97740114,0.09859077342606823
0.9964776,0.99647576,0.982808,0.9964776,0.01233054272081879,0.9759887,0.96892655,0.1263781938758205
0.99542093,0.9954185,0.98575497,0.99542093,0.014082233145329793,0.98163843,0.97740114,0.08105337468746568
0.99506867,0.9945375,0.97759104,0.9940183,0.016720688606490144,0.98163843,0.9858757,0.052213650244445
0.9978866,0.9970044,0.9859155,0.9961322,0.008900131974912908,0.9872881,0.98870057,0.07498118080973379
0.99894327,0.9985903,0.96428573,0.99824005,0.004085427558343637,0.97740114,0.9915254,0.14452906551733635
0.99330753,0.9929515,0.982808,0.99260825,0.028392368599702268,0.9759887,0.96892655,0.07769376002430027
0.99506867,0.9950661,0.97740114,0.99506867,0.014677552985357684,0.97740114,0.97740114,0.1146931650307509
0.99718213,0.9959471,0.9774648,0.99472946,0.010701427020105823,0.9788136,0.980226,0.13477044508311542
0.99189854,0.9913656,0.9856322,0.9908515,0.024370818304583937,0.97740114,0.96892655,0.09224111384550407
0.99084187,0.99030834,0.9942363,0.9897959,0.029473166065426663,0.9844633,0.9745763,0.038857175197401596
0.9961254,0.9968282,0.98579544,0.9975309,0.008652236707676241,0.9830508,0.980226,0.08028388205519894
0.99718213,0.9968282,0.99130434,0.9964801,0.008375721298607938,0.9788136,0.9661017,0.06625456066307596
0.99753433,0.99735683,0.98847264,0.9971831,0.00643959954411475,0.9788136,0.96892655,0.06541900065925275
0.9978866,0.99735683,0.97740114,0.9968332,0.010082436559168465,0.97740114,0.97740114,0.08636315629012392
0.99506867,0.99488986,0.98016995,0.9947183,0.020519695290146876,0.9788136,0.97740114,0.09596471196048063
0.99577314,0.99559474,0.98579544,0.99542254,0.01573632639032042,0.9830508,0.980226,0.06060411783341367
0.9964776,0.996652,0.9745763,0.99682873,0.010614548515040312,0.9745763,0.9745763,0.12428582875860719
0.9982388,0.99718064,0.9884058,0.99613357,0.008752720263562438,0.9759887,0.96327686,0.16731931819855336
0.99542093,0.9959471,0.98571426,0.9964739,0.01264840869793159,0.980226,0.9745763,0.17096783268972945
0.9961254,0.99488986,0.9942029,0.99367535,0.016325116180687247,0.98163843,0.96892655,0.10670002962929843
0.99929553,0.9985903,0.99708456,0.9978896,0.004202384178912616,0.98163843,0.9661017,0.11974545695796432
0.9978866,0.9982379,0.98295456,0.99859005,0.0037814057013377117,0.980226,0.97740114,0.1097261255043048
0.99365973,0.9943612,0.9614325,0.99506176,0.02132072689756022,0.97316384,0.9858757,0.16345097921975363
0.9961254,0.99559474,0.98300284,0.9950739,0.014486544336843873,0.98163843,0.980226,0.08945712683169484
0.99929553,0.9992952,0.96935934,0.99929553,0.002294218089974111,0.9759887,0.9830508,0.19739521065770693
0.99718213,0.996652,0.9858357,0.9961295,0.01868065198954956,0.9844633,0.9830508,0.11622806614588371
0.99929553,0.9991189,0.98295456,0.9989437,0.0014465864427099856,0.980226,0.97740114,0.17197521303019378
0.99682987,0.9968282,0.9668508,0.99682987,0.01063595901680646,0.97740114,0.98870057,0.12957365862446218
0.99471647,0.9954185,0.98575497,0.9961199,0.016306341169524907,0.98163843,0.97740114,0.07077189786072646
0.99506867,0.9952423,0.9801136,0.9954193,0.011040668027752875,0.97740114,0.9745763,0.13301323107458587
0.99964774,0.99947137,0.98571426,0.9992958,0.001418244059002809,0.980226,0.9745763,0.1088715681148403
0.9982388,0.99876654,0.9775281,0.99929476,0.005231826365220077,0.980226,0.9830508,0.17927839878628435
0.9964776,0.996652,0.98571426,0.99682873,0.011082274246508806,0.980226,0.9745763,0.11017580964840006
0.99471647,0.9945375,0.96935934,0.99436617,0.02612766199237738,0.9759887,0.9830508,0.0824569331044891
0.99682987,0.996652,0.97740114,0.99647886,0.010916381706215231,0.97740114,0.97740114,0.07801986607036003
0.9978866,0.9977093,0.9771429,0.9975352,0.007404473479782533,0.9717514,0.9661017,0.15423836420867934
0.994012,0.99418503,0.9884393,0.99436224,0.01685964876561518,0.97740114,0.9661017,0.0827360292940533
0.99929553,0.9991189,0.982808,0.9989437,0.003931398256825897,0.9759887,0.96892655,0.13285795587606422
0.99894327,0.9992952,0.97720796,0.9996475,0.00150361290208668,0.97316384,0.96892655,0.1460535006889724
1.0,1.0,0.98016995,1.0,0.0004365342907258087,0.9788136,0.97740114,0.16358639538020697
0.99964774,0.9998238,0.9799427,1.0,0.00020069042936846144,0.97316384,0.9661017,0.1981157429050148
0.99330753,0.9938326,0.9775281,0.99435824,0.03142610761860629,0.980226,0.9830508,0.06514248401461824
0.9978866,0.99788547,0.9884393,0.9978866,0.007287199725749634,0.97740114,0.9661017,0.17849617080418018
0.9961254,0.99629956,0.982808,0.9964764,0.010640273537043641,0.9759887,0.96892655,0.1709935873498617
0.99718213,0.9977093,0.98847264,0.99823695,0.009639730722418206,0.9788136,0.96892655,0.10979034162880115
0.99929553,0.99947137,0.98575497,0.9996476,0.0012972392881083932,0.98163843,0.97740114,0.11305035017741882
1.0,1.0,0.9913295,1.0,0.00018576591380527674,0.980226,0.96892655,0.12302343670691238
1.0,1.0,0.98567337,1.0,0.00011161455635705786,0.9788136,0.9717514,0.12642599649027103
1.0,1.0,0.98567337,1.0,5.028388354163652e-05,0.9788136,0.9717514,0.1286363427652989
1.0,1.0,0.98567337,1.0,1.3807025773285965e-05,0.9788136,0.9717514,0.13514539943388823
1.0,1.0,0.9856322,1.0,1.0249827288624778e-05,0.97740114,0.96892655,0.14003263805406277
1.0,1.0,0.9856322,1.0,9.512947777548675e-06,0.97740114,0.96892655,0.14201623962001922
1.0,1.0,0.9856322,1.0,1.5834437511273808e-06,0.97740114,0.96892655,0.1453875145790438
1.0,1.0,0.98847264,1.0,1.7997795236835364e-06,0.9788136,0.96892655,0.1558430130217508
1.0,1.0,0.98847264,1.0,2.25369152304903e-06,0.9788136,0.96892655,0.1593511571184354
1.0,1.0,0.98567337,1.0,3.2764953025221717e-06,0.9788136,0.9717514,0.17748716213830978
1.0,1.0,0.98567337,1.0,6.496321689424324e-07,0.9788136,0.9717514,0.18219889077842363
1.0,1.0,0.98567337,1.0,9.80574303289721e-07,0.9788136,0.9717514,0.19053211379265172
1.0,1.0,0.98567337,1.0,2.1662073678249297e-07,0.9788136,0.9717514,0.2001256085163945
1.0,1.0,0.98567337,1.0,3.805381227597901e-08,0.9788136,0.9717514,0.20120972286903424
0.99964774,0.9998238,0.99122804,1.0,0.0022145334555502467,0.9745763,0.9576271,0.28873204879648895
0.9883762,0.9888987,0.96910113,0.9894217,0.052657912596524824,0.9717514,0.9745763,0.1331914226383825
0.994012,0.9950661,0.9885057,0.9961172,0.01709677056359288,0.980226,0.9717514,0.09647211721039332
0.99929553,0.9991189,0.98567337,0.9989437,0.002030418989984315,0.9788136,0.9717514,0.12471276013375687
0.99859107,0.9984141,0.98,0.99823946,0.005467709452896341,0.9745763,0.96892655,0.16254064351416397
0.99718213,0.9970044,0.98295456,0.996831,0.0073382042885597795,0.980226,0.97740114,0.12174916949194022
0.99189854,0.99330395,0.9941691,0.9947015,0.02565629758621601,0.9788136,0.96327686,0.10256244368379468
0.99929553,0.9992952,1.0,0.99929553,0.0018132791730547824,0.9830508,0.9661017,0.130844820600191
